Compound_id,pChEMBL Value,smiles
CHEMBL1923231,,NC(=O)c1c(-c2ccc(Br)s2)n([C@H]2O[C@@H](CO)[C@@H](O)[C@@H]2O)c2ncnc(N)c12
CHEMBL1929238,,CN(C)CCN1CCN(C(=O)c2cc(C(C)(C)C)sc2NC(=O)Nc2cccc(Cl)c2Cl)CCC1=O
CHEMBL1933576,,CN1CCN(c2ccc(OC(F)(F)F)c(Nc3nccc(-c4cc(C(N)=O)cn4C)n3)c2)CC1
CHEMBL1933582,,CN1CCN(c2ccc(OC(F)(F)F)c(Nc3nccc(-c4cc5c(n4C)CCNC5=O)n3)c2)CC1
CHEMBL1952210,,COc1ccc(N2Cc3cnc(Nc4ccccc4)nc3N([C@@H]3CC[C@@H](O)C3)C2=O)cc1
CHEMBL1956069,,COc1cccc(C(=O)c2sc(Nc3ccc(N4CCN(C(C)C)CC4)cc3)nc2N)c1
CHEMBL1956070,,CN1CCN(c2ccc(Nc3nc(N)c(C(=O)c4ccc5c(c4)OCCO5)s3)cc2)CC1
CHEMBL2001835,,Nc1ccc2c(=S)c3ccccc3[nH]c2c1
CHEMBL2017214,,CSc1ccccc1Nc1nc(N2CCNCC2)nc2c(NCC3CC3)ncnc12
CHEMBL2035810,,C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(OCc3ccccn3)c(Cl)c2)n1
CHEMBL2063926,,CSc1ccccc1Nc1nc(N2CCN(C3CCNCC3)CC2)nc2c(NCC3CC3)ncnc12
CHEMBL206627,,Cn1cc(/C=C2\C(=O)NN=C2c2nccs2)c2cc3c(cc21)OCO3
CHEMBL208741,,CCn1cnc2ccc3nc(C(=N)NC(C)C)sc3c2c1=O
CHEMBL2089057,,Cc1nn(C)c(C)c1-c1cc(C(=O)c2nc3nc(N4CCC(N(C)C)CC4)ccc3[nH]2)ccc1C#N
CHEMBL2089062,5.05,CN(C)C1CCN(c2ccc3nc(C(=O)c4ccnc(-c5cccnc5)c4)[nH]c3c2)CC1
CHEMBL2089063,5.92,CN(C)C1CCN(c2ccc3nc(C(=O)c4ccnc(-c5cncc6ccccc56)c4)[nH]c3c2)CC1
CHEMBL2089064,,CN(C)C1CCN(c2ccc3[nH]c(C(=O)c4ccnc(-c5cncc6ccccc56)c4)nc3n2)CC1
CHEMBL2089065,5.25,CN(C)C1CCN(c2ccc3[nH]c(C(=O)c4ccc(C#N)c(-c5cncc6ccccc56)c4)nc3n2)CC1
CHEMBL2089066,,Cc1nn(C)c(C)c1-c1cc(C(=O)c2nc3ccc(N4CCC(N(C)C)CC4)cc3[nH]2)ccn1
CHEMBL209467,,CN(CCc1c[nH]c2ccccc12)C(=O)c1ccc(C(C)(C)C)cc1
CHEMBL210229,5,CC(C)n1cnc2ccc3nc(C(=N)NCCN(C)C)sc3c2c1=O
CHEMBL2103840,8.52,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CCO)nc12
CHEMBL2103840,7.14,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CCO)nc12
CHEMBL210474,4.77,CCn1cnc2ccc3nc(C(=N)NCCN(C)C)sc3c2c1=O
CHEMBL213302,,CN(CCc1c[nH]c2ccccc12)C(=O)c1ccc(Cl)cc1
CHEMBL213805,,CN(CCc1c[nH]c2ccccc12)C(=O)c1ccc(-c2ccccc2)cc1
CHEMBL215205,4.36,Nc1n[nH]c(N)c1/N=N/c1ccc(O)cc1
CHEMBL2152252,,CNC(=O)c1nc(-c2ccc(Cl)c(S(=O)(=O)Nc3cccc(F)c3F)c2)cnc1N
CHEMBL2152253,,CNC(=O)c1nc(-c2ccc(Cl)c(S(=O)(=O)Nc3cccc(F)c3C)c2)cnc1N
